Site Identifier,Site Type,LAT Trimmed,LON Trimmed,Formatted_Address,City,Suburb,Postcode
1638,Openserve Property,-26.87,26.66,"Desmond Tutu Street, Klerksdorp, South Africa",Klerksdorp,N/A,
UK06195-X1,Openserve Property,-31.01,23,"unnamed road, Ubuntu Ward 4, Ubuntu Local Municipality, South Africa",Ubuntu Local Municipality,Ubuntu Ward 4,N/A
1385,Openserve Property,-25.75,28.16,"Schutte Street, Pretoria-West, Pretoria, 1083, South Africa",Pretoria,Pretoria-West,1083
1784,Openserve Property,-25.77,28.33,"Lynnwood Road, Wapadrand Security Village, Gauteng, 0050, South Africa",N/A,Wapadrand Security Village,0050
1862,Openserve Property,-29.68,31.01,"Rustic Manor Primary School, Capemanor Close, Caneside, Phoenix, 4068, South Africa",Phoenix,Caneside,4068
177,Openserve Property,-33.9,25.14,"Street, Kouga Nu, South Africa",Kouga Nu,N/A,
669,Openserve Property,-33.88,18.69,"Cross Road, Bracken Heights, Western Cape, 7560, South Africa",N/A,Bracken Heights,7560
709,Openserve Property,-33.83,18.65,"Chenoweth, Cape Town Ward 112, Durbanville, 7550, South Africa",Durbanville,Cape Town Ward 112,7550
403,Openserve Property,-29.8,30.98,"26 Courdan Place, Newlands West, South Africa",Newlands West,N/A,
806,Openserve Property,-33.93,18.51,"20 Ajax Way, Cape Town, South Africa",Cape Town,N/A,
188,Openserve Property,-28.75,32.06,"Albizia Avenue, Arboretum, Richards Bay, 3900, South Africa",Richards Bay,Arboretum,3900
950,Openserve Property,-26.35,28.43,"89 Prinsep Avenue, Nigel, South Africa",Nigel,N/A,
1859,Openserve Property,-29.81,31,"Durban, South Africa",Durban,N/A,
418,Openserve Property,-29,30.02,"D385, Umtshezi Ward 9, Umtshezi Local Municipality, South Africa",Umtshezi Local Municipality,Umtshezi Ward 9,N/A
2187,Openserve Property,-34.03,18.5,"38 Blackbird Crescent, Grassy Park, South Africa",Grassy Park,N/A,
