Site Identifier,Latitude,Longitude,Demand_Index,city,suburb,address,Site_Loadshedding_Risk,Distance_to_Metro_KM,Closest_Metro,Metro_Proximity_Score,Base_Risk_Category,Adjusted_Risk_Category,Total_Weighted_Score,Final_Classification,Factor_Scores
1638,-26.87,26.66,30,Klerksdorp,N/A,"Desmond Tutu Street, Klerksdorp, South Africa",53,156.61562429474074,Johannesburg,0.6344548673233074,Amber,Amber,4.526956762640385,Risky,"{""loadshedding"": 4.7, ""interop"": 1.0244595330048125, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
UK06195-X1,-31.01,23.0,30,Ubuntu Local Municipality,Ubuntu Ward 4,"unnamed road, Ubuntu Ward 4, Ubuntu Local Municipality, South Africa",59,376.3234021108065,Bloemfontein,0.26502464315911567,Red,Red,3.2442163253190914,Risky,"{""loadshedding"": 4.1, ""interop"": 0.49020406648864134, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
1385,-25.75,28.16,60,Pretoria,Pretoria-West,"Schutte Street, Pretoria-West, Pretoria, 1083, South Africa",43,6.944596283052815,Pretoria,12.587172014431637,Green,Green,7.055236041036742,Amber,"{""loadshedding"": 5.7, ""interop"": 5.440450512959273, ""security"": 8.5, ""demand"": 6.0, ""permitting"": 8.0, ""physical"": 8.5, ""opCost"": 9.0}"
1784,-25.77,28.33,30,N/A,Wapadrand Security Village,"Lynnwood Road, Wapadrand Security Village, Gauteng, 0050, South Africa",51,10.379744934874955,Pretoria,8.787543180650282,Amber,Amber,4.8755187822838035,Risky,"{""loadshedding"": 4.9, ""interop"": 4.75648477854754, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
1862,-29.68,31.01,30,Phoenix,Caneside,"Rustic Manor Primary School, Capemanor Close, Caneside, Phoenix, 4068, South Africa",63,19.90314769635384,Durban,4.783968493771066,Red,Red,3.397771758235863,Risky,"{""loadshedding"": 3.7, ""interop"": 3.6596469779482943, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
177,-33.9,25.14,30,Kouga Nu,N/A,"Street, Kouga Nu, South Africa",56,44.33550896747897,Port Elizabeth,2.205776493470805,Amber,Amber,4.564329477170707,Risky,"{""loadshedding"": 4.4, ""interop"": 2.4291184646338393, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
669,-33.88,18.69,30,N/A,Bracken Heights,"Cross Road, Bracken Heights, Western Cape, 7560, South Africa",59,25.042762728892313,Cape Town,3.839838385850599,Red,Red,3.4680442366196607,Risky,"{""loadshedding"": 4.1, ""interop"": 3.2880529577457662, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
709,-33.83,18.65,30,Durbanville,Cape Town Ward 112,"Chenoweth, Cape Town Ward 112, Durbanville, 7550, South Africa",59,23.372299421723223,Cape Town,4.103018688128754,Red,Red,3.476877138713875,Risky,"{""loadshedding"": 4.1, ""interop"": 3.398464233923446, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
403,-29.8,30.98,30,Newlands West,N/A,"26 Courdan Place, Newlands West, South Africa",55,7.672142748970556,Durban,11.531175500065507,Amber,Amber,4.816739782889981,Risky,"{""loadshedding"": 4.5, ""interop"": 5.271747286124761, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
806,-33.93,18.51,85,Cape Town,N/A,"20 Ajax Way, Cape Town, South Africa",27,7.9456915216897634,Cape Town,11.178565654487365,Green,Green,7.936978593076371,Ready,"{""loadshedding"": 7.3, ""interop"": 5.2122324134546325, ""security"": 8.5, ""demand"": 8.5, ""permitting"": 8.0, ""physical"": 8.5, ""opCost"": 9.0}"
188,-28.75,32.06,30,Richards Bay,Arboretum,"Albizia Avenue, Arboretum, Richards Bay, 3900, South Africa",54,159.16060762683702,Durban,0.6243732555822527,Amber,Amber,4.500924643876713,Risky,"{""loadshedding"": 4.6, ""interop"": 1.0115580484589195, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
950,-26.35,28.43,30,Nigel,N/A,"89 Prinsep Avenue, Nigel, South Africa",68,41.46255384421283,Johannesburg,2.355016148272224,Red,Red,3.1819198415109,Risky,"{""loadshedding"": 3.2, ""interop"": 2.5239980188862443, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
1859,-29.81,31.0,85,Durban,N/A,"Durban, South Africa",21,5.809131883979637,Durban,14.686159954586518,Green,Green,8.129199169079524,Ready,"{""loadshedding"": 7.9, ""interop"": 5.73998961349405, ""security"": 8.5, ""demand"": 8.5, ""permitting"": 8.0, ""physical"": 8.5, ""opCost"": 9.0}"
418,-29.0,30.02,30,Umtshezi Local Municipality,Umtshezi Ward 9,"D385, Umtshezi Ward 9, Umtshezi Local Municipality, South Africa",65,136.12374125217852,Durban,0.7292683169728734,Red,Red,3.146363186223054,Risky,"{""loadshedding"": 3.5, ""interop"": 1.1420398277881756, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
2187,-34.03,18.5,30,Grassy Park,N/A,"38 Blackbird Crescent, Grassy Park, South Africa",64,13.62196069159439,Cape Town,6.839028096791848,Red,Red,3.4234870376184183,Risky,"{""loadshedding"": 3.5999999999999996, ""interop"": 4.293587970230231, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
334,-29.93,30.97,85,Durban,Mobeni East,"Barrier Lane, Mobeni East, Durban, 4061, South Africa",25,9.369714812172644,Durban,9.643466750176534,Green,Green,7.964503676629715,Ready,"{""loadshedding"": 7.5, ""interop"": 4.931295957871434, ""security"": 8.5, ""demand"": 8.5, ""permitting"": 8.0, ""physical"": 8.5, ""opCost"": 9.0}"
23,-27.46,23.43,30,Ga-Segonyana Local Municipality,Ga-Segonyana Ward 1,"Duiker Road, Ga-Segonyana Ward 1, Ga-Segonyana Local Municipality, 8461, South Africa",61,327.2590931681417,Bloemfontein,0.3046374101471661,Red,Red,3.1993597614214853,Risky,"{""loadshedding"": 3.9000000000000004, ""interop"": 0.5544970177685632, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
486,-29.09,26.25,60,Bloemfontein,Mangaung Ward 44,"2 Rotterdam Street, Mangaung Ward 44, Bloemfontein, 9313, South Africa",32,3.3178655755942903,Bloemfontein,23.159590832384005,Green,Green,7.426246126268217,Amber,"{""loadshedding"": 6.8, ""interop"": 6.640576578352708, ""security"": 8.5, ""demand"": 6.0, ""permitting"": 8.0, ""physical"": 8.5, ""opCost"": 9.0}"
1608,-25.01,28.0,30,Moretele Local Municipality,Mnukubyane,"unnamed road, Mnukubyane, Moretele Local Municipality, South Africa",52,85.22314533234628,Pretoria,1.1597813976114066,Amber,Amber,4.5984471462119165,Risky,"{""loadshedding"": 4.8, ""interop"": 1.6055893276489526, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
